epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,10833.9,1.07311,1.02482,1.63517,0.84856,0.74408,0.80933,0.51689,1.18597,1.05219,1.71089,0.000706335,0.000706335,0.000706335
112,10931.1,1.04714,1.01856,1.61966,0.80059,0.72896,0.80426,0.50406,1.23874,1.11352,1.80031,0.000701588,0.000701588,0.000701588
113,11028.3,1.0615,1.04123,1.62769,0.78988,0.77424,0.83769,0.53447,1.18744,1.03544,1.74741,0.00069682,0.00069682,0.00069682
114,11125.5,1.01838,0.98766,1.58912,0.82179,0.80488,0.85923,0.56954,1.1197,0.96532,1.66007,0.000692031,0.000692031,0.000692031
115,11222.9,1.01136,0.99554,1.57948,0.76146,0.79946,0.80964,0.53479,1.1412,0.99303,1.70177,0.000687222,0.000687222,0.000687222
116,11320.2,1.01416,0.99997,1.59799,0.82075,0.79133,0.85561,0.57449,1.10933,0.94765,1.67307,0.000682392,0.000682392,0.000682392
117,11417.4,1.01996,1.0045,1.59398,0.81654,0.77778,0.84157,0.54839,1.16361,0.99357,1.70644,0.000677543,0.000677543,0.000677543
118,11514.7,1.01739,1.00359,1.58839,0.83693,0.75105,0.83858,0.55546,1.13248,0.99337,1.68413,0.000672675,0.000672675,0.000672675
119,11612,0.98974,0.96666,1.55767,0.82693,0.72514,0.81106,0.50579,1.1924,1.04627,1.74889,0.000667789,0.000667789,0.000667789
120,11709.4,0.98365,0.9666,1.56732,0.78992,0.80217,0.8287,0.5122,1.21395,0.99108,1.78691,0.000662885,0.000662885,0.000662885
121,11806.6,1.00907,1.0115,1.58033,0.72165,0.81301,0.81591,0.50906,1.18664,1.08107,1.73613,0.000657963,0.000657963,0.000657963
122,11903.9,0.99171,0.96448,1.56575,0.81723,0.78591,0.85824,0.54875,1.1495,0.96837,1.74908,0.000653025,0.000653025,0.000653025
123,12001.1,0.9669,0.94586,1.54563,0.82498,0.76646,0.84051,0.55447,1.09989,0.9772,1.66955,0.000648071,0.000648071,0.000648071
124,12098.5,0.9636,0.94398,1.55132,0.84086,0.74255,0.82559,0.53081,1.16893,0.99037,1.75199,0.000643101,0.000643101,0.000643101
125,12195.8,0.98702,0.97113,1.56491,0.77495,0.7652,0.81584,0.53765,1.14966,0.9966,1.72631,0.000638115,0.000638115,0.000638115
